Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
1990s,AnyCHC,0.0,27.687,36.198,40.8,43.624,45.767,47.552,49.088,50.329,51.375,52.304,53.16,53.921,54.655,55.382,56.065,56.742,57.365,58.008,58.605,59.181,59.766,60.289,60.838,61.332,61.852,62.323,62.814,63.276,63.737,64.163,64.627,65.002,65.458,65.849,66.245,66.68,67.017,67.39,67.817,68.11,68.482,68.859,69.142,69.48,69.831,70.098,70.388,70.739,71.034,71.27,71.555,71.909,72.14,72.357,72.692,72.998,73.193,73.463,73.78,74.052,74.258,74.546,74.859,75.113,75.356,75.648,75.944,76.211,76.478,76.787,77.079,77.38,77.672,77.974,78.316,78.622,78.911,79.28,79.596,79.893,80.285,80.619,80.953,81.376,81.717,82.123,82.555,82.962,83.449,83.852,84.317,84.798,85.395,86.054,86.86,87.81,88.871,90.246,92.414,
1990s,Death,0.0,27.885,37.187,43.39,47.667,51.029,53.614,55.748,57.59,59.225,60.675,61.927,63.051,64.064,65.033,65.938,66.8,67.597,68.326,69.028,69.658,70.224,70.777,71.288,71.783,72.234,72.704,73.126,73.555,73.97,74.361,74.755,75.128,75.505,75.859,76.244,76.577,76.914,77.281,77.609,77.905,78.257,78.55,78.814,79.136,79.417,79.64,79.902,80.216,80.448,80.676,80.913,81.199,81.422,81.628,81.86,82.137,82.371,82.551,82.774,83.031,83.274,83.421,83.568,83.758,83.964,84.185,84.39,84.53,84.687,84.918,85.174,85.375,85.556,85.774,86.054,86.304,86.51,86.793,87.079,87.38,87.667,87.98,88.346,88.693,89.061,89.511,89.93,90.433,90.936,91.531,92.157,92.906,93.706,94.632,95.668,96.788,97.947,98.486,98.49,
Age0-4,AnyCHC,0.0,25.386,34.887,40.017,43.093,45.328,47.169,48.735,50.049,51.1,52.066,52.952,53.746,54.496,55.194,55.888,56.572,57.199,57.842,58.463,59.038,59.621,60.151,60.714,61.215,61.733,62.219,62.702,63.17,63.643,64.057,64.531,64.921,65.361,65.788,66.141,66.603,66.956,67.32,67.753,68.046,68.41,68.812,69.08,69.431,69.783,70.063,70.345,70.69,71.014,71.224,71.534,71.881,72.114,72.352,72.672,72.974,73.169,73.443,73.776,74.035,74.249,74.538,74.838,75.106,75.353,75.642,75.956,76.211,76.497,76.774,77.077,77.384,77.677,77.99,78.323,78.621,78.924,79.296,79.603,79.922,80.304,80.631,80.98,81.42,81.728,82.151,82.583,82.999,83.494,83.886,84.357,84.821,85.43,86.082,86.87,87.823,88.878,90.288,92.479,
Age0-4,Death,0.0,25.572,35.622,42.31,46.887,50.414,53.093,55.266,57.139,58.789,60.247,61.528,62.66,63.699,64.644,65.547,66.416,67.238,67.984,68.668,69.32,69.903,70.48,70.989,71.495,71.964,72.43,72.854,73.279,73.677,74.126,74.492,74.89,75.266,75.592,75.999,76.336,76.66,77.051,77.363,77.676,78.031,78.321,78.611,78.912,79.209,79.443,79.726,80.015,80.25,80.476,80.752,81.016,81.226,81.431,81.706,81.958,82.181,82.37,82.634,82.885,83.085,83.252,83.404,83.629,83.846,84.037,84.218,84.414,84.622,84.805,85.017,85.236,85.43,85.669,85.911,86.141,86.384,86.663,86.933,87.215,87.525,87.828,88.19,88.515,88.91,89.329,89.737,90.229,90.737,91.302,91.946,92.649,93.444,94.364,95.379,96.494,97.591,98.245,98.357,
Age5-9,AnyCHC,0.0,25.391,34.482,39.749,42.942,45.198,47.08,48.677,49.996,51.075,52.041,52.908,53.716,54.47,55.188,55.878,56.549,57.202,57.826,58.442,59.01,59.587,60.134,60.674,61.187,61.696,62.18,62.644,63.127,63.556,64.014,64.439,64.88,65.29,65.704,66.093,66.489,66.882,67.242,67.624,67.984,68.336,68.695,69.008,69.346,69.676,69.977,70.26,70.597,70.892,71.157,71.433,71.755,72.023,72.262,72.557,72.866,73.117,73.34,73.67,73.949,74.195,74.438,74.753,75.026,75.266,75.541,75.86,76.124,76.374,76.688,76.997,77.289,77.591,77.902,78.211,78.543,78.835,79.189,79.527,79.836,80.209,80.565,80.898,81.313,81.694,82.106,82.545,82.951,83.446,83.863,84.35,84.843,85.438,86.11,86.905,87.856,88.945,90.38,92.594,
Age5-9,Death,0.0,25.552,35.119,41.786,46.417,50.012,52.759,54.976,56.857,58.559,60.015,61.312,62.478,63.496,64.503,65.418,66.268,67.064,67.839,68.592,69.228,69.832,70.407,70.939,71.441,71.928,72.382,72.826,73.272,73.677,74.08,74.484,74.848,75.246,75.625,75.972,76.354,76.692,77.016,77.402,77.714,78.018,78.363,78.664,78.92,79.218,79.518,79.778,80.02,80.3,80.566,80.811,81.039,81.311,81.561,81.791,82.011,82.277,82.52,82.734,82.943,83.177,83.368,83.567,83.769,83.948,84.146,84.361,84.543,84.717,84.938,85.15,85.389,85.6,85.827,86.07,86.326,86.596,86.854,87.136,87.461,87.749,88.075,88.458,88.8,89.199,89.632,90.082,90.567,91.109,91.691,92.347,93.078,93.914,94.835,95.87,96.973,98.021,98.504,98.504,
Age10-14,AnyCHC,0.0,27.489,35.732,40.421,43.302,45.483,47.256,48.808,50.07,51.118,52.072,52.919,53.714,54.457,55.16,55.839,56.523,57.15,57.786,58.388,58.97,59.547,60.103,60.63,61.143,61.655,62.149,62.618,63.088,63.537,63.992,64.444,64.859,65.279,65.692,66.068,66.486,66.863,67.228,67.651,67.974,68.317,68.725,69.004,69.342,69.715,69.997,70.278,70.62,70.938,71.186,71.472,71.809,72.08,72.308,72.599,72.931,73.167,73.397,73.693,74.018,74.234,74.486,74.802,75.095,75.34,75.599,75.917,76.198,76.453,76.738,77.067,77.366,77.652,77.953,78.305,78.613,78.899,79.282,79.604,79.902,80.302,80.642,80.983,81.42,81.746,82.195,82.615,83.022,83.538,83.935,84.445,84.923,85.538,86.216,87.018,87.976,89.084,90.513,92.734,
Age10-14,Death,0.0,27.619,36.497,42.67,46.995,50.367,52.951,55.063,56.934,58.542,60.013,61.308,62.435,63.479,64.428,65.343,66.187,67.015,67.792,68.52,69.175,69.795,70.37,70.916,71.416,71.928,72.378,72.843,73.279,73.706,74.13,74.511,74.949,75.303,75.675,76.075,76.426,76.791,77.156,77.481,77.844,78.167,78.494,78.796,79.097,79.398,79.67,79.97,80.232,80.481,80.732,81.013,81.268,81.503,81.735,82.004,82.257,82.493,82.711,82.973,83.227,83.43,83.614,83.821,84.006,84.167,84.345,84.556,84.784,84.988,85.172,85.384,85.626,85.869,86.09,86.335,86.636,86.878,87.132,87.491,87.776,88.063,88.478,88.796,89.147,89.634,89.988,90.536,90.975,91.574,92.172,92.83,93.609,94.458,95.429,96.495,97.628,98.471,98.569,98.569,
Age15-20,AnyCHC,0.0,30.769,37.37,41.316,43.889,45.932,47.666,49.089,50.285,51.317,52.222,53.061,53.801,54.539,55.248,55.911,56.589,57.211,57.833,58.423,59.008,59.551,60.111,60.642,61.137,61.654,62.126,62.605,63.058,63.503,63.945,64.379,64.806,65.217,65.65,66.008,66.443,66.815,67.184,67.58,67.929,68.27,68.652,68.969,69.289,69.619,69.949,70.235,70.554,70.865,71.15,71.401,71.731,72.032,72.256,72.543,72.874,73.111,73.35,73.647,73.956,74.205,74.447,74.747,75.047,75.291,75.552,75.867,76.153,76.415,76.708,77.026,77.325,77.614,77.942,78.279,78.588,78.895,79.255,79.575,79.901,80.297,80.631,80.999,81.408,81.759,82.21,82.641,83.079,83.547,83.972,84.478,85.003,85.613,86.334,87.16,88.121,89.233,90.642,92.926,
Age15-20,Death,0.0,30.94,38.454,43.752,47.621,50.659,53.059,55.07,56.838,58.425,59.846,61.143,62.249,63.285,64.236,65.154,65.998,66.788,67.563,68.281,68.961,69.608,70.164,70.742,71.255,71.76,72.22,72.678,73.142,73.581,73.998,74.429,74.787,75.206,75.602,75.954,76.351,76.698,77.073,77.45,77.776,78.157,78.467,78.767,79.109,79.416,79.689,79.975,80.266,80.549,80.789,81.064,81.323,81.59,81.831,82.094,82.33,82.589,82.83,83.1,83.31,83.555,83.753,83.941,84.091,84.259,84.473,84.718,84.949,85.122,85.306,85.565,85.836,86.057,86.274,86.535,86.848,87.12,87.399,87.715,88.043,88.361,88.719,89.099,89.491,89.892,90.394,90.842,91.402,91.929,92.576,93.284,94.052,94.919,95.875,96.957,97.993,98.58,98.624,98.624,
