Diagnosis,Treatment,70,80,90,
d13,Anth100_249,0.027046079940957302,0.2465416213453639,0.33890476716273343,
d13,Anth250_399,0.05155161834090001,0.06906750568789014,0.057266325057145635,
d13,Anth400+,0.048755191794801325,0.015720873272872544,0.012128464791420341,
-1,AlkNone,0.5612407785001259,0.46126051651899974,0.41983925237489367,
-1,Alk<4000,0.07068853230806496,0.15698934885580326,0.21867999136173946,
-1,Alk4000_7999,0.08578781614060162,0.12600892173727044,0.14132456921400616,
-1,Alk8000_11999,0.08402074032301912,0.11088787387584677,0.10117532805119957,
-1,Alk12000+,0.18178068742329861,0.13384271385645125,0.11100667445613802,
g0,AlkNone,0.8406396357005298,0.7268504177898825,0.6668379287138404,
g0,Alk<4000,0.013318065952714436,0.033377421121539526,0.028069093836487365,
g0,Alk4000_7999,0.02317235878706809,0.028256284989525347,0.051095848430239434,
g0,Alk8000_11999,0.035412969656380106,0.07548386245939333,0.10178290209254232,
g0,Alk12000+,0.0615665283372251,0.11645447198050601,0.13910838693760072,
g1,AlkNone,0.3711547161828872,0.2241010599581689,0.1800022354697584,
g1,Alk<4000,0.056777783268395735,0.11136251231184106,0.07243372124777372,
g1,Alk4000_7999,0.20381814658266942,0.25804141778047346,0.08169963592408748,
g1,Alk8000_11999,0.07626861855785023,0.10361936694886398,0.14897471390021222,
g1,Alk12000+,0.24139287150356403,0.26368196968873026,0.4865360071443555,
g2,AlkNone,0.3605479381025062,0.33418625058072926,0.17315599423207895,
g2,Alk<4000,0.047003382402066855,0.048876670012544116,0.03424756602403737,
g2,Alk4000_7999,0.07433383644939444,0.08305867442348992,0.03293617711984371,
g2,Alk8000_11999,0.079536975899395,0.13049486167940502,0.08636573465697493,
g2,Alk12000+,0.38658008996387905,0.3630943021776671,0.6421459072358305,
g3,AlkNone,0.7030943746307625,0.7055772727013637,0.6279521676683464,
g3,Alk<4000,0.032002485419278824,0.04896032496937762,0.08073581603756447,
g3,Alk4000_7999,0.05606172606089637,0.10771056262506802,0.11216380549726791,
g3,Alk8000_11999,0.037722544902020684,0.040984790709391365,0.04405144745600162,
g3,Alk12000+,0.13963598151959963,0.08032914461699017,0.11624440093478089,
g4,AlkNone,0.6382930907630405,0.4189605730105259,0.3789328191529382,
g4,Alk<4000,0.12170861548861697,0.28218441262956784,0.3777260347372647,
g4,Alk4000_7999,0.07422596267034992,0.10569037248485257,0.10837811388725127,
g4,Alk8000_11999,0.04982841781394691,0.10474203737787804,0.09916331187117869,
g4,Alk12000+,0.08927633532587677,0.07026926701518751,0.02313681050212289,
g5,AlkNone,0.3915221660377309,0.2536649737973481,0.18638838221758794,
g5,Alk<4000,0.06017196575762409,0.11649708701475099,0.1713273343690213,
g5,Alk4000_7999,0.09438413615395895,0.2191667588439542,0.42967352010390863,
g5,Alk8000_11999,0.16597796501117942,0.19573874548632736,0.13286204950667074,
g5,Alk12000+,0.2463779756191341,0.18388917747213315,0.05949374507806138,
d0,AlkNone,0.6602044898725036,0.4255471178652046,0.3684706127226727,
d0,Alk<4000,0.11699281943075904,0.2811302709570841,0.3920815374395724,
d0,Alk4000_7999,0.06540138247215664,0.09646051837382656,0.10821212293098012,
d0,Alk8000_11999,0.047482766692324846,0.10946522192615407,0.09981084789068259,
d0,Alk12000+,0.08370601009176884,0.06835874032154574,0.018488279036850793,
d1,AlkNone,0.34142676781306047,0.38563014108610344,0.5077122316870823,
d1,Alk<4000,0.14242012265862514,0.2644177735983287,0.21440485301222226,
