Group,Outcome,80-70,90-70,90-80,
NBL_70,condLE,-52.448271623756604,-52.448271623756604,0.0,
NBL_70,condQALE,-39.78744858650312,-39.78744858650312,0.0,
NBL_70,condHLY,-42.06997725084885,-42.06997725084885,0.0,
STS_70,condLE,-45.42704292942801,-45.42704292942801,0.0,
STS_70,condQALE,-33.8584390912865,-33.8584390912865,0.0,
STS_70,condHLY,-35.117347917408345,-35.117347917408345,0.0,
Ewings_70,condLE,-36.37090469928673,-36.37090469928673,0.0,
Ewings_70,condQALE,-25.813412754524265,-25.813412754524265,0.0,
Ewings_70,condHLY,-26.349093484361223,-26.349093484361223,0.0,
Osteosarcoma_70,condLE,-44.83991083334553,-44.83991083334553,0.0,
Osteosarcoma_70,condQALE,-32.52193457411327,-32.52193457411327,0.0,
Osteosarcoma_70,condHLY,-32.74739967228372,-32.74739967228372,0.0,
OtherBoneTumor_70,condLE,-39.80295956627661,-39.80295956627661,0.0,
OtherBoneTumor_70,condQALE,-28.956752496779853,-28.956752496779853,0.0,
OtherBoneTumor_70,condHLY,-30.878241594019872,-30.878241594019872,0.0,
ALL_80,condLE,63.117994635023805,0.0,-53.33082435959455,
ALL_80,condQALE,47.37117846177322,0.0,-40.78852217907974,
ALL_80,condHLY,51.09253023250889,0.0,-44.86391817678493,
AML_80,condLE,53.54838911530038,0.0,-41.19879252665676,
AML_80,condQALE,40.41150766294037,0.0,-31.76885681882095,
AML_80,condHLY,42.61965915558482,0.0,-33.44597226705001,
OtherLeukemia_80,condLE,46.2903239687806,0.0,-31.986612018677736,
OtherLeukemia_80,condQALE,34.926538367635985,0.0,-24.63658981342612,
OtherLeukemia_80,condHLY,37.03837904711258,0.0,-26.72818031030857,
Astrocytoma_80,condLE,47.55518266516183,0.0,-40.33754709859459,
Astrocytoma_80,condQALE,35.210325362612004,0.0,-30.400390360012697,
Astrocytoma_80,condHLY,38.456252067237806,0.0,-33.16118511784059,
Medulloblastoma_80,condLE,35.956398422567645,0.0,-30.162939674349566,
Medulloblastoma_80,condQALE,26.556954523808244,0.0,-22.44510907147967,
Medulloblastoma_80,condHLY,29.330208272632383,0.0,-24.35616994456529,
Other CNS_80,condLE,43.89046367767567,0.0,-34.99832327264286,
Other CNS_80,condQALE,32.41172449946615,0.0,-26.273875963637725,
Other CNS_80,condHLY,34.91870365589723,0.0,-28.75005621876649,
HL_80,condLE,45.25191831513136,0.0,-39.83682984620374,
HL_80,condQALE,33.18986253649792,0.0,-29.76435333668247,
HL_80,condHLY,31.484535233942385,0.0,-28.78120640060583,
NHL_80,condLE,57.7808789412525,0.0,-48.588274698727936,
NHL_80,condQALE,42.85747312234586,0.0,-36.83713904168482,
NHL_80,condHLY,41.88444757509064,0.0,-36.46536111942693,
Kidney_80,condLE,61.4138376677567,0.0,-52.033394000608745,
Kidney_80,condQALE,45.95880372827914,0.0,-39.711896920028614,
Kidney_80,condHLY,46.72976248572596,0.0,-41.22299542706901,
NBL_80,condLE,61.48745699335119,0.0,-53.188477916809994,
NBL_80,condQALE,46.19661692899159,0.0,-40.67504017915908,
NBL_80,condHLY,46.85805332290739,0.0,-41.5844904418638,
STS_80,condLE,51.62642218675753,0.0,-45.34047815255594,
STS_80,condQALE,37.814567151926774,0.0,-33.76777016732758,
STS_80,condHLY,37.83760027695592,0.0,-34.35053467021616,
Ewings_80,condLE,44.45035839382335,0.0,-37.217802811088326,
Ewings_80,condQALE,31.25708723779226,0.0,-26.544882579619397,
Ewings_80,condHLY,31.053724162938828,0.0,-26.163358912985107,
Osteosarcoma_80,condLE,51.543219541610924,0.0,-44.901782898064745,
Osteosarcoma_80,condQALE,36.85750558194044,0.0,-32.524159380038,
Osteosarcoma_80,condHLY,37.11046031391136,0.0,-32.56607625614739,
OtherBoneTumor_80,condLE,51.70629084128195,0.0,-37.12656260921564,
OtherBoneTumor_80,condQALE,37.12344807258869,0.0,-27.103940716919006,
OtherBoneTumor_80,condHLY,39.63428627342392,0.0,-27.87668942766741,
ALL_90,condLE,0.0,66.84243560738359,66.84243560738359,
ALL_90,condQALE,0.0,50.31795956748696,50.31795956748696,
ALL_90,condHLY,0.0,53.48882087720742,53.48882087720742,
AML_90,condLE,0.0,56.44827223731247,56.44827223731247,
AML_90,condQALE,0.0,42.518993587218645,42.518993587218645,
AML_90,condHLY,0.0,43.387116522098964,43.387116522098964,
OtherLeukemia_90,condLE,0.0,50.73792598779066,50.73792598779066,
OtherLeukemia_90,condQALE,0.0,38.039631712259,38.039631712259,
OtherLeukemia_90,condHLY,0.0,39.655515196208725,39.655515196208725,
Astrocytoma_90,condLE,0.0,54.080504324218204,54.080504324218204,
Astrocytoma_90,condQALE,0.0,39.99605031111535,39.99605031111535,
Astrocytoma_90,condHLY,0.0,43.451447927701984,43.451447927701984,
Medulloblastoma_90,condLE,0.0,39.41726474352467,39.41726474352467,
Medulloblastoma_90,condQALE,0.0,28.953958368480034,28.953958368480034,
Medulloblastoma_90,condHLY,0.0,31.165643307147608,31.165643307147608,
Other CNS_90,condLE,0.0,45.807330503946325,45.807330503946325,
Other CNS_90,condQALE,0.0,34.11226429267744,34.11226429267744,
Other CNS_90,condHLY,0.0,36.512211212740084,36.512211212740084,
HL_90,condLE,0.0,52.41642128987473,52.41642128987473,
HL_90,condQALE,0.0,38.05425864458075,38.05425864458075,
HL_90,condHLY,0.0,35.86614842404676,35.86614842404676,
NHL_90,condLE,0.0,61.0363942431171,61.0363942431171,
NHL_90,condQALE,0.0,45.59942796760313,45.59942796760313,
NHL_90,condHLY,0.0,44.46589211403877,44.46589211403877,
Kidney_90,condLE,0.0,62.42461037366077,62.42461037366077,
Kidney_90,condQALE,0.0,46.537511391786715,46.537511391786715,
Kidney_90,condHLY,0.0,47.2386162104176,47.2386162104176,
NBL_90,condLE,0.0,58.78894273588489,58.78894273588489,
NBL_90,condQALE,0.0,44.21975193258105,44.21975193258105,
NBL_90,condHLY,0.0,44.09993217864336,44.09993217864336,
STS_90,condLE,0.0,54.54685199684769,54.54685199684769,
STS_90,condQALE,0.0,39.97256623438533,39.97256623438533,
STS_90,condHLY,0.0,40.36888957291226,40.36888957291226,
Ewings_90,condLE,0.0,48.03023301176822,48.03023301176822,
Ewings_90,condQALE,0.0,33.76129946998159,33.76129946998159,
Ewings_90,condHLY,0.0,32.92842597452059,32.92842597452059,
Osteosarcoma_90,condLE,0.0,50.58763515350968,50.58763515350968,
Osteosarcoma_90,condQALE,0.0,36.24710150868382,36.24710150868382,
Osteosarcoma_90,condHLY,0.0,35.7246665489561,35.7246665489561,
OtherBoneTumor_90,condLE,0.0,50.89734891516819,50.89734891516819,
OtherBoneTumor_90,condQALE,0.0,35.96283603336755,35.96283603336755,
OtherBoneTumor_90,condHLY,0.0,35.96938840009518,35.96938840009518,
brain_70,condLE,-34.49894279691992,-34.49894279691992,0.0,
brain_70,condQALE,-25.808113650954393,-25.808113650954393,0.0,
brain_70,condHLY,-28.862390250504397,-28.862390250504397,0.0,
bone_70,condLE,-43.01714441725628,-43.01714441725628,0.0,
bone_70,condQALE,-30.86290266450447,-30.86290266450447,0.0,
bone_70,condHLY,-31.370552373204124,-31.370552373204124,0.0,
sts_70,condLE,-45.42704292942801,-45.42704292942801,0.0,
sts_70,condQALE,-33.8584390912865,-33.8584390912865,0.0,
sts_70,condHLY,-35.117347917408345,-35.117347917408345,0.0,
solid_70,condLE,-52.46539639576958,-52.46539639576958,0.0,
solid_70,condQALE,-39.72349758456317,-39.72349758456317,0.0,
solid_70,condHLY,-42.32576768543178,-42.32576768543178,0.0,
leuk_70,condLE,-46.78522011493409,-46.78522011493409,0.0,
leuk_70,condQALE,-35.466751346645275,-35.466751346645275,0.0,
leuk_70,condHLY,-40.05377158766873,-40.05377158766873,0.0,
lymp_70,condLE,-37.53675650020164,-37.53675650020164,0.0,
lymp_70,condQALE,-28.113366408881483,-28.113366408881483,0.0,
lymp_70,condHLY,-28.360697425360215,-28.360697425360215,0.0,
brain_80,condLE,42.70521838155121,0.0,-38.39529243980328,
brain_80,condQALE,31.670256261542864,0.0,-28.78174480175286,
brain_80,condHLY,34.71325452042125,0.0,-31.284972673366415,
bone_80,condLE,47.75173249696112,0.0,-43.203707584869136,
bone_80,condQALE,34.01806762003022,0.0,-31.042686678091478,
bone_80,condHLY,34.269966209915374,0.0,-30.889833291521093,
sts_80,condLE,51.62642218675753,0.0,-45.34047815255594,
sts_80,condQALE,37.814567151926774,0.0,-33.76777016732758,
sts_80,condHLY,37.83760027695592,0.0,-34.35053467021616,
solid_80,condLE,60.542320082187324,0.0,-53.160553371849815,
solid_80,condQALE,45.307061315201935,0.0,-40.4365780499595,
solid_80,condHLY,45.857015730929334,0.0,-41.810758936690334,
leuk_80,condLE,61.267383814912854,0.0,-52.45412943003284,
leuk_80,condQALE,45.98830175321227,0.0,-40.12157399919006,
leuk_80,condHLY,49.33364867554782,0.0,-43.92229593085475,
lymp_80,condLE,49.75027663919512,0.0,-44.17925490661903,
lymp_80,condQALE,36.777398134616455,0.0,-33.14571305713378,
lymp_80,condHLY,35.41896874525519,0.0,-32.7640849087866,
brain_90,condLE,0.0,46.83595121437086,46.83595121437086,
brain_90,condQALE,0.0,34.74139006950062,34.74139006950062,
brain_90,condHLY,0.0,37.978936969898584,37.978936969898584,
bone_90,condLE,0.0,48.22419765888994,48.22419765888994,
bone_90,condQALE,0.0,34.27629965695405,34.27629965695405,
bone_90,condHLY,0.0,33.929203328353836,33.929203328353836,
sts_90,condLE,0.0,54.54685199684769,54.54685199684769,
sts_90,condQALE,0.0,39.97256623438533,39.97256623438533,
sts_90,condHLY,0.0,40.36888957291226,40.36888957291226,
solid_90,condLE,0.0,59.73395623947333,59.73395623947333,
solid_90,condQALE,0.0,44.68908392837979,44.68908392837979,
solid_90,condHLY,0.0,44.65972721816571,44.65972721816571,
leuk_90,condLE,0.0,64.9592518809275,64.9592518809275,
leuk_90,condQALE,0.0,48.94334994602402,48.94334994602402,
leuk_90,condHLY,0.0,51.84967602829561,51.84967602829561,
lymp_90,condLE,0.0,55.34180101141637,55.34180101141637,
lymp_90,condQALE,0.0,40.884375863416686,40.884375863416686,
lymp_90,condHLY,0.0,39.29099677755045,39.29099677755045,
SurgOnly_NoTrt,condLE,5.800151126249283,7.628113269529095,2.972030422191061,
SurgOnly_NoTrt,condQALE,4.538290174226013,5.724538788651586,2.0404761586927833,
SurgOnly_NoTrt,condHLY,4.9672674692382515,6.3792695765261485,2.5073141265166967,
ChemoOnly,condLE,7.078802034458903,9.52083764412,3.0531834019128112,
ChemoOnly,condQALE,5.5330048853669425,7.295605355503483,2.293389077425651,
ChemoOnly,condHLY,6.032181916064573,7.926785148171845,2.445277534725406,
RadOnly,condLE,4.216535057040431,4.107668541669064,0.9857024899658313,
RadOnly,condQALE,2.8917941564143845,2.491449891361558,0.4403262770006009,
RadOnly,condHLY,2.6109636993361214,1.4160258728406525,0.18414808440513397,
ChemoRad,condLE,2.4887041241176107,1.8090749516858509,0.08280337198948473,
ChemoRad,condQALE,1.6913325097666032,1.0620194452512806,-0.06496820066853104,
ChemoRad,condHLY,0.9491272508901218,-0.4745959801335431,-0.8220066756666213,
NoChemoRT,condLE,5.800151126249283,7.628113269529095,2.972030422191061,
NoChemoRT,condQALE,4.538290174226013,5.724538788651586,2.0404761586927833,
NoChemoRT,condHLY,4.9672674692382515,6.3792695765261485,2.5073141265166967,
AnyChemoRT,condLE,5.939821286838956,9.714203726034086,4.088053483534296,
AnyChemoRT,condQALE,4.541827648424132,7.5145002915101955,3.2254576468308116,
AnyChemoRT,condHLY,4.199683306345051,7.071213414910616,3.1401662116040043,
NoChemo,condLE,6.442719911850851,12.04661430974749,6.405504656912491,
NoChemo,condQALE,4.828036721092655,9.096638796803653,4.835210985929457,
NoChemo,condHLY,4.96041576167152,10.11688053753793,5.784721938473147,
AnyChemo,condLE,5.519834367975946,8.572301075815211,3.5071907423625674,
AnyChemo,condQALE,4.284493758090562,6.714424833385166,2.7653057743592555,
AnyChemo,condHLY,3.9651519775426323,6.263069504305797,2.627650841901918,
NoRad,condLE,6.726695650322704,9.112828698197035,2.9664641580177644,
NoRad,condQALE,5.264628681891239,6.956704019088406,2.165360525234604,
NoRad,condHLY,5.4645090215393495,7.237270750945903,2.269999087630353,
AnyRad,condLE,2.8466276941196043,2.6120971249152447,0.4527430326631432,
AnyRad,condQALE,1.9421940849027948,1.666766138924082,0.16862405291777094,
AnyRad,condHLY,1.2692170757551366,0.2940405854754431,-0.4746900053612535,
SurgOnly_NoTrt_70,condLE,-48.88726427684726,-48.88726427684726,0.0,
SurgOnly_NoTrt_70,condQALE,-37.09312298247737,-37.09312298247737,0.0,
SurgOnly_NoTrt_70,condHLY,-40.04474517887004,-40.04474517887004,0.0,
ChemoOnly_70,condLE,-50.60720143775925,-50.60720143775925,0.0,
ChemoOnly_70,condQALE,-38.35439187860717,-38.35439187860717,0.0,
ChemoOnly_70,condHLY,-39.9355494500287,-39.9355494500287,0.0,
RadOnly_70,condLE,-36.63387039487309,-36.63387039487309,0.0,
RadOnly_70,condQALE,-27.3564814548929,-27.3564814548929,0.0,
RadOnly_70,condHLY,-28.76623111681203,-28.76623111681203,0.0,
ChemoRad_70,condLE,-44.21922837404675,-44.21922837404675,0.0,
ChemoRad_70,condQALE,-32.87655140980576,-32.87655140980576,0.0,
ChemoRad_70,condHLY,-35.44257008953203,-35.44257008953203,0.0,
SurgOnly_NoTrt_80,condLE,57.164528375022876,0.0,-51.74569941326949,
SurgOnly_NoTrt_80,condQALE,43.26065896760938,0.0,-39.57356861282928,
SurgOnly_NoTrt_80,condHLY,47.04733418000629,0.0,-42.49459484025891,
ChemoOnly_80,condLE,60.4014339270344,0.0,-54.560881695784104,
ChemoOnly_80,condQALE,45.616893952078826,0.0,-41.76229409414876,
ChemoOnly_80,condHLY,47.49215888214851,0.0,-43.905524950040146,
RadOnly_80,condLE,42.14569927154282,0.0,-38.32685504689318,
RadOnly_80,condQALE,31.14509831757,0.0,-28.515560006044197,
RadOnly_80,condHLY,32.3074999312914,0.0,-29.856417541486444,
ChemoRad_80,condLE,49.80212724126925,0.0,-45.70086731846223,
ChemoRad_80,condQALE,36.65169192321008,0.0,-33.94943096915091,
ChemoRad_80,condHLY,38.11551737743797,0.0,-35.14696299291537,
SurgOnly_NoTrt_90,condLE,0.0,58.750223064048626,58.750223064048626,
SurgOnly_NoTrt_90,condQALE,0.0,44.31537336149553,44.31537336149553,
SurgOnly_NoTrt_90,condHLY,0.0,48.570072689698854,48.570072689698854,
