Diagnosis,Treatment,70,80,90,
d7,AnthNone,1.0,0.9947424825140961,0.9955244105245173,
d7,Anth<100,0.0,0.0,0.0,
d7,Anth100_249,0.0,0.0,0.0,
d7,Anth250_399,0.0,0.0052575174859038135,0.002133075207892354,
d7,Anth400+,0.0,0.0,0.0023425142675902897,
d8,AnthNone,0.6921536171886282,0.5189163322042236,0.6949278976613027,
d8,Anth<100,0.016981515606934863,0.029999015118331335,0.03175453309150797,
d8,Anth100_249,0.08343237423175613,0.0679949334951848,0.10276773433155437,
d8,Anth250_399,0.09866190292697499,0.2639923314000086,0.13018065583728378,
d8,Anth400+,0.1358633056147129,0.15062146847749283,0.06324504287521762,
d9,AnthNone,0.2897645311006079,0.054004617729019246,0.011703904027495663,
d9,Anth<100,0.01445454066007717,0.016185835417779373,0.02502629218222918,
d9,Anth100_249,0.08674594658793426,0.08954649887083292,0.1423520919453779,
d9,Anth250_399,0.3547690945098574,0.5417764532248204,0.6849070989431848,
d9,Anth400+,0.34597840336148805,0.35920833183427003,0.18121709105832898,
d10,AnthNone,0.2235308381429185,0.13801434902069826,0.06307357344015543,
d10,Anth<100,0.029518327266234712,0.03783484011805801,0.019872380873921184,
d10,Anth100_249,0.10926244600729978,0.15275811103734716,0.15275320816047855,
d10,Anth250_399,0.29208652217077474,0.4141028197055267,0.34141472517360677,
d10,Anth400+,0.41988872239051356,0.3111834324656313,0.46310265799185446,
d11,AnthNone,1.0,0.5887018377329195,0.12307265469491735,
d11,Anth<100,0.0,0.07380450457014048,0.024857262343148428,
d11,Anth100_249,0.0,0.0,0.31028659517164403,
d11,Anth250_399,0.0,0.2504999978487411,0.5583951883015185,
d11,Anth400+,0.0,0.08699365984819894,0.09577403609946335,
d12,AnthNone,0.7347044405553282,0.536462018317726,0.49168220747652436,
d12,Anth<100,0.014187652300187049,0.023307731629149963,0.08008623375029147,
d12,Anth100_249,0.10490057573004537,0.20217630991528368,0.3281566112318662,
d12,Anth250_399,0.15124147684630102,0.24360684273270072,0.10695118912982572,
d12,Anth400+,0.024918152348927847,0.015932809103356545,0.00631554867233869,
d13,AnthNone,0.8519998947800469,0.6145045650104167,0.4553550600988533,
d13,Anth<100,0.02317530870571788,0.05699150800979338,0.13927496230229008,
d13,Anth100_249,0.03541195048004508,0.2599328998845536,0.3534587122847298,
d13,Anth250_399,0.059302507309314655,0.07661349271574915,0.06380850811328118,
d13,Anth400+,0.058756652223297366,0.019104338555751024,0.014841349675008927,
-1,AlkNone,0.5699766148868118,0.46681170773013286,0.4238104893530178,
-1,Alk<4000,0.07583580174920179,0.1614503812295144,0.2222765659379941,
-1,Alk4000_7999,0.0916294514961866,0.1301597125100811,0.14443726826353898,
-1,Alk8000_11999,0.09008096017507417,0.11470699723983889,0.10393149190879855,
-1,Alk12000+,0.1893583263114162,0.13793987568864025,0.11359980894680899,
g0,AlkNone,0.8586923420242045,0.7390640326398727,0.6732396937468893,
g0,Alk<4000,0.020569342498034694,0.039321955556783215,0.031123398215963643,
g0,Alk4000_7999,0.03274837961418729,0.03379244408588859,0.05578777639710755,
g0,Alk8000_11999,0.04608040403344689,0.0841849840052794,0.10797533668595609,
g0,Alk12000+,0.07514318406455209,0.1257331495531421,0.1459840467875086,
g1,AlkNone,0.3932169395485702,0.2398749393335616,0.19220160397043037,
g1,Alk<4000,0.07219931852458969,0.1248392735212095,0.08255738914487734,
g1,Alk4000_7999,0.22554104329535993,0.27622076947391266,0.09327813533547936,
g1,Alk8000_11999,0.0968444022879839,0.11988229057753526,0.1631617661064236,
g1,Alk12000+,0.2657029220040677,0.28095996714147564,0.5025129106369516,
g2,AlkNone,0.38994536062192847,0.3569995816141288,0.1951277896069681,
g2,Alk<4000,0.06122672258929122,0.058497187237647075,0.03993061606105937,
g2,Alk4000_7999,0.09216535133273397,0.09649069929616304,0.03948379828946746,
g2,Alk8000_11999,0.09720528809435625,0.14670995327185976,0.09994934460163628,
g2,Alk12000+,0.41665380150158615,0.38623214433478914,0.6673474611755572,
g3,AlkNone,0.7213215685383848,0.7153565418408689,0.6386689017533672,
g3,Alk<4000,0.04034575792747067,0.05385848050602472,0.08895851249535494,
g3,Alk4000_7999,0.0674439287726395,0.1152559008079891,0.12059133905804799,
g3,Alk8000_11999,0.048166142980530784,0.04612765336787514,0.04858266329638287,
g3,Alk12000+,0.15736977855362597,0.08777687719404842,0.12446738946444189,
g4,AlkNone,0.653977387643469,0.42874832110036176,0.3860139293332517,
g4,Alk<4000,0.13343052487177182,0.291480409063976,0.3848052439681766,
g4,Alk4000_7999,0.08377477755002304,0.11266578254857591,0.11325558957299532,
g4,Alk8000_11999,0.058303071081465006,0.11082721828342988,0.10361044262450057,
g4,Alk12000+,0.0992210286400447,0.075961652293769,0.025770246076765632,
g5,AlkNone,0.4138721837349535,0.268452333259027,0.19527243088039367,
g5,Alk<4000,0.07083411537044484,0.12558896001606368,0.1795451474331131,
g5,Alk4000_7999,0.10893700732380411,0.23212593669944812,0.44096370191748085,
g5,Alk8000_11999,0.18325359662342328,0.20880547386671758,0.1405967046253707,
g5,Alk12000+,0.26560952175884556,0.19615184471256875,0.065328257985217,
d0,AlkNone,0.6758011213038538,0.4357614495480454,0.3760253883711141,
d0,Alk<4000,0.12885347976785336,0.2912275239588371,0.39927343579567487,
d0,Alk4000_7999,0.07505301417473037,0.10355568006459297,0.11344527284018259,
d0,Alk8000_11999,0.055890332369614215,0.11607943908856609,0.10433961527549998,
d0,Alk12000+,0.09331392381790896,0.0745865844696096,0.021061662056101698,
d1,AlkNone,0.4122879260756445,0.4125488755594221,0.5321358891926679,
d1,Alk<4000,0.20168849976811423,0.28803182235835084,0.23468455369417737,
d1,Alk4000_7999,0.2654762762321565,0.21091898456787841,0.09868388326150745,
d1,Alk8000_11999,0.10488392907264994,0.07407461314275096,0.10633348970416974,
d1,Alk12000+,0.1683085586739987,0.0674924164692552,0.07528112971948107,
d2,AlkNone,0.657885766450372,0.3196004643335557,0.33358690393747376,
d2,Alk<4000,0.2104933454734256,0.3785238152585761,0.38772127130887807,
d2,Alk4000_7999,0.0686080075079409,0.15973861646238458,0.1938551908574845,
