Diagnosis,Treatment,70,80,90,
g2,Alk<4000,0.053023834399722546,0.05270203266549125,0.03540299525481966,
g2,Alk4000_7999,0.082627962235818,0.08908925074254423,0.034692644948057065,
g2,Alk8000_11999,0.08777183147929003,0.13826048495179724,0.09117170138749824,
g2,Alk12000+,0.40121021922317324,0.37456811145663893,0.6552910717470194,
g3,AlkNone,0.7116477699400798,0.7106154446014066,0.6331387728586944,
g3,Alk<4000,0.035717610936320886,0.051069812427640214,0.08462538565299381,
g3,Alk4000_7999,0.061377452294765274,0.1112361458466254,0.11593755291858225,
g3,Alk8000_11999,0.04269407535965777,0.04330715290318848,0.04593174580897025,
g3,Alk12000+,0.14856309146917682,0.08377144422113993,0.12036654276075914,
g4,AlkNone,0.6459159130392512,0.4238990421689134,0.3823613366522507,
g4,Alk<4000,0.1274412076147854,0.28667692782296544,0.3813962774433271,
g4,Alk4000_7999,0.07878055493161229,0.10889044725058215,0.11068249816317019,
g4,Alk8000_11999,0.05382879650592794,0.1075937441335057,0.10129289915821582,
g4,Alk12000+,0.09403352790842233,0.07293983862403283,0.024266988583037368,
g5,AlkNone,0.4032249528617229,0.26124996048542337,0.19063508832207493,
g5,Alk<4000,0.06539358436382905,0.12097136375527448,0.17537048123884977,
g5,Alk4000_7999,0.10112033900653641,0.22556799564388832,0.43506462008086355,
g5,Alk8000_11999,0.17442370400582838,0.20232776231789465,0.13669260653908674,
g5,Alk12000+,0.2558374197620835,0.18988291779751923,0.06223720381912526,
d0,AlkNone,0.6677056173222983,0.43060571861495245,0.37225510534692474,
d0,Alk<4000,0.12288896470297848,0.28599323150693645,0.3957950646449989,
d0,Alk4000_7999,0.06963057383936198,0.09971608043519109,0.11060826503895084,
d0,Alk8000_11999,0.05137917963115253,0.11250150314337073,0.10190923538735759,
d0,Alk12000+,0.08839566450420831,0.07118346629954872,0.019432329581767188,
d1,AlkNone,0.3746990467862487,0.39975908275086536,0.519918005664576,
d1,Alk<4000,0.17168267209407514,0.2753420753007077,0.22411105258337471,
d1,Alk4000_7999,0.23162138811212743,0.19977439016222837,0.09093886437256038,
d1,Alk8000_11999,0.08021533488049737,0.06473314597445524,0.09712081475177077,
d1,Alk12000+,0.1417815581270507,0.06039130581174261,0.06791126262771792,
d2,AlkNone,0.6018608444338901,0.2839576340700684,0.3099686140674633,
d2,Alk<4000,0.1579905856721749,0.34103939847385384,0.36562723794280777,
d2,Alk4000_7999,0.03033985172334258,0.13215091741619692,0.1739235509095876,
